"","DEFECT","HLTH","RAPE","POOR","SINGLE","NOMORE","AGE","SEX","RACE","DEGREE","REGION"
"251","YES","YES","YES","YES","YES","YES",44,"MALE","WHITE","COLLEGE","MOUNTAIN"
"252","NO","YES","NO","NO","NO","NO",38,"FEMALE","WHITE","HIGH SCHOOL","MOUNTAIN"
"253","YES","YES","YES","YES","YES","YES",47,"MALE","WHITE","GRADUATE","MOUNTAIN"
"254","NO","YES","NO","YES","NO","YES",26,"FEMALE","OTHER","HIGH SCHOOL","MOUNTAIN"
"255","YES",NA,NA,"NO","YES","NO",81,"FEMALE","WHITE","<= HS","PACIFIC"
"256","YES","YES","YES","YES","YES","YES",21,"FEMALE","WHITE","HIGH SCHOOL","PACIFIC"
"257","YES","YES","YES",NA,"NO",NA,57,"FEMALE","WHITE","COLLEGE","PACIFIC"
"258","NO","YES","YES","NO","NO","NO",23,"FEMALE","WHITE","COLLEGE","PACIFIC"
"259","YES","YES","YES","YES","YES","YES",52,"MALE","WHITE","HIGH SCHOOL","PACIFIC"
"260","NO","NO","NO","NO","NO","NO",50,"FEMALE","OTHER","HIGH SCHOOL","PACIFIC"
"261","YES","YES","YES","YES","YES","YES",47,"FEMALE","OTHER","GRADUATE","PACIFIC"
"262","YES","YES","YES","YES","YES","YES",58,"MALE","OTHER","COLLEGE","PACIFIC"
"263","YES","YES","NO","NO","NO","NO",26,"MALE","OTHER","HIGH SCHOOL","PACIFIC"
"264","YES","YES","YES","YES","YES","YES",72,"FEMALE","WHITE","COLLEGE","PACIFIC"
"265","YES","YES","YES","YES","NO","YES",26,"FEMALE","WHITE","HIGH SCHOOL","PACIFIC"
"266","YES","YES","YES","YES","YES","YES",44,"FEMALE","WHITE","HIGH SCHOOL","MIDDLE ATLANTIC"
"267","YES","YES","YES","YES","YES","YES",46,"FEMALE","WHITE","COLLEGE","MIDDLE ATLANTIC"
"268","YES","YES","YES","YES","YES","YES",20,"FEMALE","WHITE","HIGH SCHOOL","MIDDLE ATLANTIC"
"269","YES","YES","YES","YES","YES","YES",57,"FEMALE","BLACK","COLLEGE","MIDDLE ATLANTIC"
"270","YES","YES","YES","NO","NO","YES",52,"MALE","WHITE","HIGH SCHOOL","NEW ENGLAND"
"271","YES","YES","YES","YES","YES","YES",49,"MALE","WHITE","GRADUATE","W. NOR. CENTRAL"
"272","YES","YES","YES","NO","NO","NO",42,"MALE","WHITE","COLLEGE","W. NOR. CENTRAL"
"273","NO","YES","NO","NO","NO","NO",24,"FEMALE","WHITE","COLLEGE","W. NOR. CENTRAL"
"274","YES","YES","YES","YES","YES","YES",24,"FEMALE","WHITE","COLLEGE","W. NOR. CENTRAL"
"275","NO","YES","YES","NO","YES","YES",31,"MALE","WHITE","COLLEGE","W. NOR. CENTRAL"
"276","YES","YES","YES","YES","YES","YES",66,"MALE","WHITE","HIGH SCHOOL","W. NOR. CENTRAL"
"277","NO","NO","NO","NO","NO","NO",70,"FEMALE","WHITE","HIGH SCHOOL","W. NOR. CENTRAL"
"278",NA,NA,"YES","NO","NO","NO",37,"MALE","WHITE","HIGH SCHOOL","MOUNTAIN"
"279","YES","YES","YES","NO","NO","NO",78,"MALE","WHITE","COLLEGE","MOUNTAIN"
"280","YES","YES","YES","NO","NO","NO",40,"MALE","WHITE","COLLEGE","MOUNTAIN"
"281","NO","NO","NO","NO","NO","NO",62,"FEMALE","WHITE","HIGH SCHOOL","MOUNTAIN"
"282","YES","YES","YES","YES","YES","YES",56,"MALE","WHITE","GRADUATE","W. NOR. CENTRAL"
"283","YES","YES",NA,"NO","NO","NO",84,"FEMALE","WHITE","<= HS","W. NOR. CENTRAL"
"284","YES","YES",NA,"NO","NO","NO",39,"MALE","WHITE","HIGH SCHOOL","W. NOR. CENTRAL"
"285","YES","YES",NA,"NO","NO","NO",27,"FEMALE","WHITE","<= HS","E. NOR. CENTRAL"
"286","YES","YES","YES","YES","YES","YES",53,"FEMALE","WHITE","<= HS","E. NOR. CENTRAL"
"287","YES","NO",NA,"NO",NA,"YES",86,"FEMALE","WHITE","<= HS","E. NOR. CENTRAL"
"288","YES","YES","YES","YES","YES","NO",36,"FEMALE","WHITE","HIGH SCHOOL","W. NOR. CENTRAL"
"289","YES","YES","YES","YES","NO","YES",56,"MALE","WHITE","HIGH SCHOOL","W. NOR. CENTRAL"
"290","YES","YES","NO","NO","NO","NO",47,"MALE","WHITE","COLLEGE","E. NOR. CENTRAL"
"291","YES","YES","YES","YES","YES","YES",30,"MALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"292","NO",NA,NA,"NO","NO","NO",55,"FEMALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"293","YES","YES","YES","YES","YES","YES",49,"MALE","WHITE","COLLEGE","E. NOR. CENTRAL"
"294","YES","YES","YES","YES","YES","YES",40,"MALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"295","YES","YES","YES","YES","YES","YES",74,"MALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"296",NA,"YES","YES","NO",NA,"NO",65,"MALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"297","YES","YES","YES","YES","YES","YES",37,"FEMALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"298","YES","YES","YES","NO","NO","NO",53,"MALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"299","NO",NA,NA,"NO","NO","NO",43,"FEMALE","WHITE","HIGH SCHOOL","E. NOR. CENTRAL"
"300","YES","YES","NO","NO","NO","YES",31,"MALE","WHITE","<= HS","SOUTH ATLANTIC"
"301","NO",NA,"NO","NO","NO","NO",24,"MALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"302","YES","YES","YES","NO","NO","NO",51,"FEMALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"303","YES","YES","YES","YES","YES","YES",35,"MALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"304",NA,"YES","NO","NO","NO","NO",87,"FEMALE","WHITE","<= HS","SOUTH ATLANTIC"
"305","NO","NO","NO","NO","NO","NO",54,"MALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"306","YES","YES","YES","YES","YES","YES",44,"FEMALE","WHITE","COLLEGE","SOUTH ATLANTIC"
"307","YES","YES","YES","NO","NO","NO",55,"FEMALE","WHITE","COLLEGE","SOUTH ATLANTIC"
"308","YES","YES","YES","NO","NO","NO",66,"MALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"309","NO",NA,NA,"NO","NO","NO",56,"FEMALE","WHITE","<= HS","SOUTH ATLANTIC"
"310","NO","NO","NO","NO","NO","NO",51,"FEMALE","WHITE","<= HS","E. SOU. CENTRAL"
"311","YES",NA,"NO","NO","NO","NO",62,"FEMALE","WHITE","<= HS","E. SOU. CENTRAL"
"312","YES","YES","YES","NO","NO","YES",50,"FEMALE","WHITE","HIGH SCHOOL","E. SOU. CENTRAL"
"313","YES","YES","YES","YES","YES","YES",49,"FEMALE","WHITE","COLLEGE","SOUTH ATLANTIC"
"314","YES","YES","YES","YES","YES","YES",59,"MALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"315","YES","YES","YES","YES","YES","YES",52,"FEMALE","WHITE","COLLEGE","SOUTH ATLANTIC"
"316","YES","YES","YES","YES","NO","NO",82,"MALE","WHITE","<= HS","SOUTH ATLANTIC"
"317","YES","YES","YES","YES","YES","YES",63,"MALE","WHITE","COLLEGE","SOUTH ATLANTIC"
"318","NO","YES","NO","NO","NO","NO",36,"MALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"319","YES","YES","YES","YES","NO","YES",57,"MALE","BLACK","HIGH SCHOOL","SOUTH ATLANTIC"
"320","YES","YES","YES","YES","YES","YES",37,"FEMALE","WHITE","HIGH SCHOOL","W. SOU. CENTRAL"
"321","YES","NO","NO","NO","NO","NO",89,"FEMALE","BLACK","COLLEGE","W. SOU. CENTRAL"
"322","YES","YES","YES","NO","NO","NO",37,"FEMALE","OTHER","HIGH SCHOOL","SOUTH ATLANTIC"
"323","YES","YES","YES","YES","YES","YES",63,"FEMALE","WHITE","COLLEGE","SOUTH ATLANTIC"
"324",NA,"NO","NO","NO","NO","NO",26,"MALE","OTHER","<= HS","SOUTH ATLANTIC"
"325","YES","YES","YES","YES","YES","YES",45,"MALE","BLACK","HIGH SCHOOL","SOUTH ATLANTIC"
"326","YES","YES","YES","YES","NO","NO",41,"MALE","WHITE","<= HS","SOUTH ATLANTIC"
"327",NA,NA,NA,"NO","NO","NO",62,"MALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"328","NO","NO","NO","NO","NO","NO",35,"FEMALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"329","NO","NO","NO","NO","NO","NO",41,"FEMALE","WHITE","<= HS","SOUTH ATLANTIC"
"330","YES","YES","YES","NO","NO","NO",57,"MALE","WHITE","COLLEGE","W. SOU. CENTRAL"
"331","YES","YES","NO","YES","NO","NO",44,"MALE","WHITE","<= HS","W. SOU. CENTRAL"
"332","YES","YES","YES","YES","YES","YES",36,"FEMALE","WHITE","HIGH SCHOOL","W. SOU. CENTRAL"
"333","NO","YES","YES","NO","NO","NO",58,"MALE","WHITE","HIGH SCHOOL","E. SOU. CENTRAL"
"334","NO",NA,NA,"NO","NO","NO",61,"FEMALE","WHITE","HIGH SCHOOL","E. SOU. CENTRAL"
"335","YES","YES","YES","YES","YES","YES",51,"FEMALE","WHITE","HIGH SCHOOL","E. SOU. CENTRAL"
"336","YES","YES","YES",NA,"NO","NO",78,"FEMALE","WHITE","GRADUATE","W. SOU. CENTRAL"
"337","YES","YES","YES","NO","NO","NO",47,"MALE","WHITE","COLLEGE","W. SOU. CENTRAL"
"338","YES","YES","YES","YES","YES","YES",36,"MALE","OTHER","HIGH SCHOOL","SOUTH ATLANTIC"
"339","NO","YES","NO","NO","NO","NO",32,"FEMALE","WHITE","GRADUATE","SOUTH ATLANTIC"
"340","NO","NO","YES","NO","NO","NO",29,"FEMALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"341","YES","YES","YES","YES","YES","YES",35,"MALE","BLACK","COLLEGE","SOUTH ATLANTIC"
"342","YES","YES","YES","YES","YES","YES",51,"FEMALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"343","NO","NO","NO","NO","NO","NO",53,"FEMALE","WHITE","HIGH SCHOOL","SOUTH ATLANTIC"
"344","YES","YES","YES","NO","NO","NO",39,"FEMALE","WHITE","HIGH SCHOOL","MOUNTAIN"
"345",NA,"YES","YES","NO","NO","NO",24,"MALE","WHITE","HIGH SCHOOL","MOUNTAIN"
"346","YES","YES","YES","NO","NO","NO",27,"FEMALE","WHITE","COLLEGE","MOUNTAIN"
"347","YES","YES","YES",NA,NA,"YES",75,"FEMALE","WHITE","COLLEGE","MOUNTAIN"
"348","YES","YES","NO","NO","NO","NO",39,"FEMALE","WHITE","HIGH SCHOOL","MOUNTAIN"
"349",NA,NA,NA,NA,NA,NA,58,"FEMALE","WHITE","GRADUATE","MOUNTAIN"
"350","YES","YES","YES","YES","YES","YES",19,"MALE","WHITE","HIGH SCHOOL","PACIFIC"
"351","YES","YES","YES","YES","YES","YES",22,"MALE","BLACK","HIGH SCHOOL","PACIFIC"
"352","NO","NO","NO","NO","NO","NO",42,"FEMALE","BLACK","COLLEGE","SOUTH ATLANTIC"
"353","YES","YES","YES","YES","YES","YES",89,"FEMALE","WHITE","HIGH SCHOOL","MIDDLE ATLANTIC"
"354","YES","YES","YES","YES","YES","YES",30,"MALE","BLACK","HIGH SCHOOL","SOUTH ATLANTIC"
"355","NO","NO","NO","NO","NO","NO",80,"FEMALE","OTHER","<= HS","SOUTH ATLANTIC"
